precinct;gender;nationality;category;num
3;Мужской;Кроаты;Грамотные;0
3;Мужской;Осетины;Грамотные;1
3;Мужской;Сербы;Грамотные;0
3;Мужской;Норвежцы;Грамотные;1
3;Мужской;Датчане;Грамотные;1
3;Мужской;Румыны;Грамотные;0
3;Мужской;Черногорцы;Грамотные;0
3;Мужской;Зыряне;Грамотные;0
3;Мужской;Эстонцы;Грамотные;0
3;Мужской;Черемисы;Грамотные;0
3;Мужской;Литвины;Грамотные;0
2;Мужской;Русские;Неграмотные;1322
2;Мужской;Татары;Неграмотные;348
2;Мужской;Армяне;Неграмотные;118
2;Мужской;Евреи;Неграмотные;364
2;Мужской;Немцы;Неграмотные;32
2;Мужской;Персы;Неграмотные;143
2;Мужской;Поляки;Неграмотные;95
2;Мужской;Туркмены;Неграмотные;0
2;Мужской;Киргизы;Неграмотные;0
2;Мужской;Калмыки;Неграмотные;0
2;Мужской;Мордвины;Неграмотные;0
2;Мужской;Финны;Неграмотные;0
2;Мужской;Греки;Неграмотные;0
2;Мужской;Шведы;Неграмотные;0
2;Мужской;Грузины;Неграмотные;1
2;Мужской;Белоруссы;Неграмотные;0
2;Мужской;Черкесы;Неграмотные;0
2;Мужской;Французы;Неграмотные;0
2;Мужской;Словаки;Неграмотные;1
2;Мужской;Латыши;Неграмотные;1
2;Мужской;Чехи;Неграмотные;0
2;Мужской;Англичане;Неграмотные;0
2;Мужской;Лезгины;Неграмотные;0
2;Мужской;Чуваши;Неграмотные;0
2;Мужской;Хивинцы;Неграмотные;0
2;Мужской;Кроаты;Неграмотные;0
2;Мужской;Осетины;Неграмотные;0
2;Мужской;Сербы;Неграмотные;0
2;Мужской;Норвежцы;Неграмотные;0
2;Мужской;Датчане;Неграмотные;0
2;Мужской;Румыны;Неграмотные;0
2;Мужской;Черногорцы;Неграмотные;0
2;Мужской;Зыряне;Неграмотные;0
2;Мужской;Эстонцы;Неграмотные;0
2;Мужской;Черемисы;Неграмотные;0
2;Мужской;Литвины;Неграмотные;0
1;Мужской;Русские;Неграмотные;2751
1;Мужской;Татары;Неграмотные;175
1;Мужской;Армяне;Неграмотные;24
1;Мужской;Евреи;Неграмотные;29
1;Мужской;Немцы;Неграмотные;20
1;Мужской;Персы;Неграмотные;22
1;Мужской;Поляки;Неграмотные;7
1;Мужской;Туркмены;Неграмотные;0
1;Мужской;Киргизы;Неграмотные;0
1;Мужской;Калмыки;Неграмотные;14
1;Мужской;Мордвины;Неграмотные;5
1;Мужской;Финны;Неграмотные;0
1;Мужской;Греки;Неграмотные;3
1;Мужской;Шведы;Неграмотные;1
1;Мужской;Грузины;Неграмотные;0
